sample_barcode	sample_class	sample_group_label	sample_type	PC1	PC2
TCGA-A2-A0SY-01A	normal	non_basal	Primary Tumor	-0.7741195164338697	4.058913230233036
TCGA-A2-A0T1-01A	normal	non_basal	Primary Tumor	2.351949959608639	-1.546366294214202
TCGA-A2-A0T4-01A	normal	non_basal	Primary Tumor	1.4922185383433997	3.7086398765126023
TCGA-A2-A0T5-01A	normal	non_basal	Primary Tumor	0.3035864771379563	1.5461458283612979
TCGA-A2-A0T6-01A	normal	non_basal	Primary Tumor	0.4145453099014722	3.817089106634398
TCGA-A2-A0T7-01A	normal	non_basal	Primary Tumor	1.1346669437991939	0.4690530242316098
TCGA-A2-A0YC-01A	normal	non_basal	Primary Tumor	-3.0939248559631127	0.9450918246817447
TCGA-A2-A0YD-01A	normal	non_basal	Primary Tumor	0.6887775076006171	2.257538716654276
TCGA-A2-A0YF-01A	normal	non_basal	Primary Tumor	-4.262598174992992	-1.7091166782419032
TCGA-A2-A0YG-01A	normal	non_basal	Primary Tumor	-0.9740855219035159	4.437454563712547
TCGA-A2-A0YH-01A	normal	non_basal	Primary Tumor	-0.9476620665617068	-4.862921801567183
TCGA-A2-A0YI-01A	normal	non_basal	Primary Tumor	0.9576631466795019	1.8465160255201862
TCGA-A2-A0YK-01A	normal	non_basal	Primary Tumor	1.9527367390010826	1.049479467763929
TCGA-A2-A0YL-01A	normal	non_basal	Primary Tumor	0.9015286869840552	-0.6592949725662466
TCGA-A2-A0YT-01A	normal	non_basal	Primary Tumor	-4.9267093762193275	-2.720888549777385
TCGA-A2-A1FV-01A	normal	non_basal	Primary Tumor	-7.246139126439754	0.4591654748503611
TCGA-A2-A1FW-01A	normal	non_basal	Primary Tumor	-4.959857212675769	0.2552285201667098
TCGA-A2-A1FX-01A	normal	non_basal	Primary Tumor	-4.086929267105995	-1.6459278128150692
TCGA-A2-A1FZ-01A	normal	non_basal	Primary Tumor	1.2127432779079268	2.13541311912019
TCGA-A2-A1G0-01A	normal	non_basal	Primary Tumor	-0.47157801756134893	-2.295835822554894
TCGA-A2-A1G4-01A	normal	non_basal	Primary Tumor	-1.4513120637159194	3.1145013499638377
TCGA-A2-A1G6-01A	normal	non_basal	Primary Tumor	4.328868560450083	-0.048815521162395174
TCGA-A2-A259-01A	normal	non_basal	Primary Tumor	2.0993598261042283	0.6107584236628749
TCGA-A2-A25A-01A	normal	non_basal	Primary Tumor	1.1737745676838711	1.5668177528073697
TCGA-A2-A25B-01A	normal	non_basal	Primary Tumor	-4.429336896983719	-2.037621074819135
TCGA-A2-A25C-01A	normal	non_basal	Primary Tumor	0.43296018409979586	1.8158232344855398
TCGA-A2-A25D-01A	normal	non_basal	Primary Tumor	-0.3381584443591145	-0.649705482569984
TCGA-A2-A25E-01A	normal	non_basal	Primary Tumor	-3.1338529186597683	-0.965015978966675
TCGA-A2-A3KC-01A	normal	non_basal	Primary Tumor	0.5961538221550696	2.1667501984279856
TCGA-A2-A3KD-01A	normal	non_basal	Primary Tumor	1.1207365353611596	0.6525485449530796
TCGA-A2-A3XV-01A	normal	non_basal	Primary Tumor	-0.03562560148174374	2.793841919798274
TCGA-A2-A3XW-01A	normal	non_basal	Primary Tumor	3.7708255149597143	0.06513287657507323
TCGA-A2-A3XZ-01A	normal	non_basal	Primary Tumor	4.219239554842141	0.4463865224648391
TCGA-A2-A4RW-01A	normal	non_basal	Primary Tumor	1.9074193853274573	2.903591539531498
TCGA-A2-A4RY-01A	normal	non_basal	Primary Tumor	3.1755356824319474	0.7424324519491159
