method	collection	direction	term	ONTOLOGY	TERM	N	DE	P.DE	FDR
missMethyl_gometh	GO	hypermethylated	GO:0000445	CC	THO complex part of transcription export complex	6	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000447	BP	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9	2	0.551052315716946	1
missMethyl_gometh	GO	hypermethylated	GO:0000448	BP	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2	1	0.435732945515427	1
missMethyl_gometh	GO	hypermethylated	GO:0000451	BP	rRNA 2'-O-methylation	3	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000454	BP	snoRNA guided rRNA pseudouridine synthesis	2	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000455	BP	enzyme-directed rRNA pseudouridine synthesis	4	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000460	BP	maturation of 5.8S rRNA	35	7	0.555247852353643	1
missMethyl_gometh	GO	hypermethylated	GO:0000461	BP	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1	0	1.00000000001966	1
missMethyl_gometh	GO	hypermethylated	GO:0000462	BP	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	34	4	0.95136786222556	1
missMethyl_gometh	GO	hypermethylated	GO:0000463	BP	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	17	2	0.785784327495339	1
missMethyl_gometh	GO	hypermethylated	GO:0000466	BP	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	24	6	0.276025261118481	1
missMethyl_gometh	GO	hypermethylated	GO:0000467	BP	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9	2	0.534080311479531	1
missMethyl_gometh	GO	hypermethylated	GO:0000470	BP	maturation of LSU-rRNA	26	2	0.943472738378815	1
missMethyl_gometh	GO	hypermethylated	GO:0000472	BP	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	5	1	0.773173010486988	1
missMethyl_gometh	GO	hypermethylated	GO:0000479	BP	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	16	3	0.695463416786079	1
missMethyl_gometh	GO	hypermethylated	GO:0000480	BP	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	7	2	0.543612113685531	1
missMethyl_gometh	GO	hypermethylated	GO:0000481	BP	maturation of 5S rRNA	1	0	0.999999999997872	1
missMethyl_gometh	GO	hypermethylated	GO:0000491	BP	small nucleolar ribonucleoprotein complex assembly	12	3	0.428193004289017	1
missMethyl_gometh	GO	hypermethylated	GO:0000492	BP	box C/D snoRNP assembly	10	3	0.250490138549724	1
missMethyl_gometh	GO	hypermethylated	GO:0000493	BP	box H/ACA snoRNP assembly	2	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000494	BP	box C/D sno(s)RNA 3'-end processing	3	1	0.35567897235327	1
missMethyl_gometh	GO	hypermethylated	GO:0000495	BP	box H/ACA sno(s)RNA 3'-end processing	2	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000497	MF	DNA template activity	1	0	0.999999999990788	1
missMethyl_gometh	GO	hypermethylated	GO:0000502	CC	proteasome complex	63	1	0.999998802813375	1
missMethyl_gometh	GO	hypermethylated	GO:0000506	CC	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	7	2	0.359428948422124	1
missMethyl_gometh	GO	hypermethylated	GO:0000511	MF	H2A-H2B histone complex chaperone activity	1	0	1.00000000000108	1
missMethyl_gometh	GO	hypermethylated	GO:0000512	BP	lncRNA-mediated post-transcriptional gene silencing	6	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000514	MF	3-sulfino-L-alanine: proton, glutamate antiporter activity	2	1	0.49465701317491	1
missMethyl_gometh	GO	hypermethylated	GO:0000515	MF	aspartate:glutamate, proton antiporter activity	2	1	0.49465701317491	1
missMethyl_gometh	GO	hypermethylated	GO:0000578	BP	embryonic axis specification	42	14	0.159064147189208	0.958324774495553
