gene	function
AC013477.1	(no annotation found)
AC013489.2	(no annotation found)
AC013562.1	(no annotation found)
AC013564.1	(no annotation found)
AC013652.1	(no annotation found)
AC013701.2	(no annotation found)
AC013733.2	(no annotation found)
AC015574.1	(no annotation found)
AC015631.1	(no annotation found)
AC015712.5	(no annotation found)
AC015845.2	(no annotation found)
AC015849.1	(no annotation found)
AC015908.3	(no annotation found)
AC015908.7	(no annotation found)
AC015909.1	(no annotation found)
AC015917.2	(no annotation found)
AC015921.1	(no annotation found)
AC015987.1	(no annotation found)
AC016044.1	(no annotation found)
AC016074.2	(no annotation found)
AC016168.2	(no annotation found)
AC016168.3	(no annotation found)
AC016266.1	(no annotation found)
AC016292.1	(no annotation found)
AC016304.1	(no annotation found)
AC016383.1	(no annotation found)
AC016396.2	(no annotation found)
AC016526.4	(no annotation found)
AC016582.1	(no annotation found)
AC016582.2	(no annotation found)
AC016582.3	(no annotation found)
AC016595.1	(no annotation found)
AC016598.2	(no annotation found)
AC016629.3	(no annotation found)
AC016705.1	(no annotation found)
AC016747.1	(no annotation found)
AC016747.4	(no annotation found)
AC016825.1	(no annotation found)
AC016831.6	(no annotation found)
AC016876.2	(no annotation found)
AC016877.3	(no annotation found)
AC016885.1	(no annotation found)
AC016912.1	(no annotation found)
AC016924.1	(no annotation found)
AC016931.1	(no annotation found)
AC016994.1	(no annotation found)
AC017000.1	(no annotation found)
AC017002.2	(no annotation found)
AC017002.3	(no annotation found)
AC017028.1	(no annotation found)
AC017033.1	(no annotation found)
AC017048.1	(no annotation found)
AC017100.1	(no annotation found)
AC017101.1	(no annotation found)
AC017116.1	(no annotation found)
AC018358.1	(no annotation found)
AC018450.1	(no annotation found)
AC018467.1	(no annotation found)
AC018470.1	(no annotation found)
AC018511.6	(no annotation found)
AC018512.1	(no annotation found)
AC018521.1	(no annotation found)
AC018552.2	(no annotation found)
AC018563.1	(no annotation found)
AC018616.1	(no annotation found)
AC018630.4	(no annotation found)
AC018637.1	(no annotation found)
AC018638.5	(no annotation found)
AC018641.1	(no annotation found)
AC018685.1	(no annotation found)
AC018685.2	(no annotation found)
AC018706.1	(no annotation found)
AC018709.1	(no annotation found)
AC018730.1	(no annotation found)
AC018742.1	(no annotation found)
AC018755.2	(no annotation found)
AC018755.3	(no annotation found)
AC018943.1	(no annotation found)
AC019068.1	(no annotation found)
AC019117.1	(no annotation found)
AC019127.1	(no annotation found)
AC019131.1	(no annotation found)
AC019155.2	(no annotation found)
AC019171.1	(no annotation found)
AC019197.1	(no annotation found)
AC019205.1	(no annotation found)
AC019211.1	(no annotation found)
AC019257.1	(no annotation found)
AC019257.2	(no annotation found)
AC019257.8	(no annotation found)
AC019257.9	(no annotation found)
AC020611.2	(no annotation found)
AC020663.2	(no annotation found)
AC020663.4	(no annotation found)
AC020687.1	(no annotation found)
AC020765.6	(no annotation found)
AC020907.2	(no annotation found)
AC020907.5	(no annotation found)
AC020907.6	(no annotation found)
AC020911.2	(no annotation found)
AC020914.1	(no annotation found)
AC020915.2	(no annotation found)
AC020915.4	(no annotation found)
AC020922.1	(no annotation found)
AC020922.3	(no annotation found)
AC020934.1	(no annotation found)
AC021037.1	(no annotation found)
AC021088.1	(no annotation found)
AC021092.1	(no annotation found)
AC021127.1	(no annotation found)
AC021134.1	(no annotation found)
AC021220.2	(no annotation found)
AC021231.1	(no annotation found)
AC021355.1	(no annotation found)
AC021491.1	(no annotation found)
AC021491.2	(no annotation found)
AC021534.1	(no annotation found)
AC021594.1	(no annotation found)
AC021594.2	(no annotation found)
AC021613.1	(no annotation found)
AC021678.2	(no annotation found)
AC021683.2	(no annotation found)
AC021683.3	(no annotation found)
AC021739.2	(no annotation found)
AC021739.3	(no annotation found)
AC022031.2	(no annotation found)
AC022098.1	(no annotation found)
AC022126.1	(no annotation found)
AC022133.2	(no annotation found)
AC022154.1	(no annotation found)
AC022217.3	(no annotation found)
AC022296.2	(no annotation found)
AC022382.2	(no annotation found)
AC022384.1	(no annotation found)
AC022384.2	(no annotation found)
AC022414.1	(no annotation found)
AC022509.1	(no annotation found)
