gene	function
AC022509.2	(no annotation found)
AC022523.1	(no annotation found)
AC022762.1	(no annotation found)
AC022784.1	(no annotation found)
AC022826.2	(no annotation found)
AC022915.2	(no annotation found)
AC022915.3	(no annotation found)
AC023157.2	(no annotation found)
AC023282.1	(no annotation found)
AC023300.2	(no annotation found)
AC023300.3	(no annotation found)
AC023355.1	(no annotation found)
AC023403.1	(no annotation found)
AC023509.6	(no annotation found)
AC023511.2	(no annotation found)
AC023787.2	(no annotation found)
AC023824.1	(no annotation found)
AC023824.4	(no annotation found)
AC023866.1	(no annotation found)
AC023866.2	(no annotation found)
AC023908.2	(no annotation found)
AC023946.1	(no annotation found)
AC024230.1	(no annotation found)
AC024270.4	(no annotation found)
AC024559.2	(no annotation found)
AC024563.1	(no annotation found)
AC024563.2	(no annotation found)
AC024575.1	(no annotation found)
AC024588.1	(no annotation found)
AC024592.3	(no annotation found)
AC024598.1	(no annotation found)
AC024610.2	(no annotation found)
AC024614.4	(no annotation found)
AC024901.1	(no annotation found)
AC024909.1	(no annotation found)
AC024933.2	(no annotation found)
AC025031.1	(no annotation found)
AC025034.1	(no annotation found)
AC025043.1	(no annotation found)
AC025048.1	(no annotation found)
AC025062.2	(no annotation found)
AC025062.3	(no annotation found)
AC025125.1	(no annotation found)
AC025165.3	(no annotation found)
AC025165.6	(no annotation found)
AC025166.1	(no annotation found)
AC025171.1	(no annotation found)
AC025171.2	(no annotation found)
AC025171.3	(no annotation found)
AC025183.2	(no annotation found)
AC025188.1	(no annotation found)
AC025211.1	(no annotation found)
AC025259.1	(no annotation found)
AC025262.3	(no annotation found)
AC025263.2	(no annotation found)
AC025280.1	(no annotation found)
AC025280.3	(no annotation found)
AC025284.1	(no annotation found)
AC025287.1	(no annotation found)
AC025419.1	(no annotation found)
AC025431.1	(no annotation found)
AC025449.2	(no annotation found)
AC025470.2	(no annotation found)
AC025580.2	(no annotation found)
AC025580.3	(no annotation found)
AC025627.1	(no annotation found)
AC025674.2	(no annotation found)
AC025682.1	(no annotation found)
AC025774.1	(no annotation found)
AC025809.1	(no annotation found)
AC025839.1	(no annotation found)
AC026100.1	(no annotation found)
AC026191.1	(no annotation found)
AC026271.1	(no annotation found)
AC026271.4	(no annotation found)
AC026310.1	(no annotation found)
AC026310.2	(no annotation found)
AC026316.3	(no annotation found)
AC026316.4	(no annotation found)
AC026336.2	(no annotation found)
AC026336.3	(no annotation found)
AC026341.1	(no annotation found)
AC026369.1	(no annotation found)
AC026396.1	(no annotation found)
AC026401.1	(no annotation found)
AC026412.4	(no annotation found)
AC026470.2	(no annotation found)
AC026471.6	(no annotation found)
AC026523.2	(no annotation found)
AC026688.2	(no annotation found)
AC026691.1	(no annotation found)
AC026765.3	(no annotation found)
AC026774.1	(no annotation found)
AC026787.1	(no annotation found)
AC026797.1	(no annotation found)
AC026894.1	(no annotation found)
AC026904.2	(no annotation found)
AC026992.2	(no annotation found)
AC027097.2	(no annotation found)
AC027128.1	(no annotation found)
AC027243.1	(no annotation found)
AC027243.2	(no annotation found)
AC027251.1	(no annotation found)
AC027281.1	(no annotation found)
AC027288.3	(no annotation found)
AC027290.1	(no annotation found)
AC027335.2	(no annotation found)
AC027451.1	(no annotation found)
AC027601.5	(no annotation found)
AC027613.1	(no annotation found)
AC027644.4	(no annotation found)
AC027801.4	(no annotation found)
AC027801.5	(no annotation found)
AC034102.3	(no annotation found)
AC034187.1	(no annotation found)
AC034222.2	(no annotation found)
AC034228.1	(no annotation found)
AC034228.3	(no annotation found)
AC034231.1	(no annotation found)
AC034268.2	(no annotation found)
AC036108.1	(no annotation found)
AC036214.3	(no annotation found)
AC036214.4	(no annotation found)
AC037459.1	(no annotation found)
AC037486.1	(no annotation found)
AC040977.1	(no annotation found)
AC040977.2	(no annotation found)
AC044798.1	(no annotation found)
AC044798.3	(no annotation found)
AC044810.2	(no annotation found)
AC044810.3	(no annotation found)
AC044839.1	(no annotation found)
AC044873.1	(no annotation found)
AC044893.1	(no annotation found)
AC044893.2	(no annotation found)
AC046134.2	(no annotation found)
AC046158.1	(no annotation found)
AC046185.3	(no annotation found)
AC046195.1	(no annotation found)
AC046195.2	(no annotation found)
AC048382.5	(no annotation found)
AC051619.3	(no annotation found)
AC051635.1	(no annotation found)
AC053503.1	(no annotation found)
AC055717.1	(no annotation found)
AC055717.2	(no annotation found)
AC055788.2	(no annotation found)
AC055839.2	(no annotation found)
AC055855.2	(no annotation found)
AC055860.1	(no annotation found)
AC055874.1	(no annotation found)
AC055876.6	(no annotation found)
AC058822.1	(no annotation found)
AC060234.1	(no annotation found)
AC060234.3	(no annotation found)
AC060809.1	(no annotation found)
AC060834.1	(no annotation found)
AC060834.2	(no annotation found)
AC061708.1	(no annotation found)
AC061709.2	(no annotation found)
AC061958.1	(no annotation found)
AC061992.2	(no annotation found)
AC062037.3	(no annotation found)
AC063923.2	(no annotation found)
AC063926.1	(no annotation found)
AC063926.2	(no annotation found)
AC063926.3	(no annotation found)
AC063944.1	(no annotation found)
AC063952.1	(no annotation found)
AC063977.3	(no annotation found)
AC063977.5	(no annotation found)
AC064799.2	(no annotation found)
AC064805.2	(no annotation found)
AC066612.1	(no annotation found)
AC067751.1	(no annotation found)
AC067752.1	(no annotation found)
AC067930.1	(no annotation found)
AC067930.5	(no annotation found)
AC067945.2	(no annotation found)
AC068014.1	(no annotation found)
AC068051.1	(no annotation found)
AC068057.3	(no annotation found)
AC068189.1	(no annotation found)
AC068205.1	(no annotation found)
AC068205.2	(no annotation found)
AC068228.1	(no annotation found)
AC068228.3	(no annotation found)
AC068234.1	(no annotation found)
AC068442.1	(no annotation found)
AC068580.4	(no annotation found)
AC068631.1	(no annotation found)
AC068633.1	(no annotation found)
AC068707.1	(no annotation found)
AC068722.1	(no annotation found)
AC068733.3	(no annotation found)
AC068774.1	(no annotation found)
AC068787.4	(no annotation found)
AC068787.5	(no annotation found)
AC068790.8	(no annotation found)
AC068831.6	(no annotation found)
AC068870.2	(no annotation found)
AC068875.1	(no annotation found)
AC068896.1	(no annotation found)
AC068898.1	(no annotation found)
AC068987.2	(no annotation found)
AC069120.1	(no annotation found)
AC069213.1	(no annotation found)
AC069288.1	(no annotation found)
AC069368.1	(no annotation found)
AC069504.1	(no annotation found)
AC072022.1	(no annotation found)
AC072026.2	(no annotation found)
AC073050.1	(no annotation found)
AC073082.1	(no annotation found)
AC073111.2	(no annotation found)
AC073111.3	(no annotation found)
AC073167.1	(no annotation found)
AC073263.1	(no annotation found)
AC073283.1	(no annotation found)
AC073283.3	(no annotation found)
AC073288.2	(no annotation found)
AC073316.1	(no annotation found)
AC073332.1	(no annotation found)
AC073336.1	(no annotation found)
AC073343.2	(no annotation found)
AC073347.1	(no annotation found)
AC073352.2	(no annotation found)
AC073530.1	(no annotation found)
AC073539.3	(no annotation found)
AC073548.2	(no annotation found)
AC073569.2	(no annotation found)
AC073578.1	(no annotation found)
AC073592.1	(no annotation found)
AC073651.2	(no annotation found)
AC073842.2	(no annotation found)
AC073862.3	(no annotation found)
AC073878.1	(no annotation found)
AC073957.2	(no annotation found)
AC073957.3	(no annotation found)
AC074051.3	(no annotation found)
AC074091.2	(no annotation found)
AC074096.1	(no annotation found)
AC074099.1	(no annotation found)
AC074135.2	(no annotation found)
AC076968.2	(no annotation found)
AC077690.1	(no annotation found)
AC078778.1	(no annotation found)
AC078785.1	(no annotation found)
AC078815.1	(no annotation found)
AC078842.1	(no annotation found)
AC078842.2	(no annotation found)
AC078845.1	(no annotation found)
AC078881.1	(no annotation found)
AC078909.1	(no annotation found)
AC078923.1	(no annotation found)
AC078925.1	(no annotation found)
AC079089.1	(no annotation found)
AC079154.1	(no annotation found)
AC079160.1	(no annotation found)
AC079296.1	(no annotation found)
AC079298.3	(no annotation found)
AC079313.1	(no annotation found)
AC079313.2	(no annotation found)
AC079336.1	(no annotation found)
AC079336.2	(no annotation found)
AC079336.4	(no annotation found)
AC079336.5	(no annotation found)
AC079336.6	(no annotation found)
AC079384.2	(no annotation found)
AC079385.1	(no annotation found)
AC079594.1	(no annotation found)
AC079612.1	(no annotation found)
AC079779.2	(no annotation found)
AC079779.3	(no annotation found)
AC079804.3	(no annotation found)
AC079809.1	(no annotation found)
AC079866.2	(no annotation found)
AC079922.2	(no annotation found)
AC079949.1	(no annotation found)
AC079949.2	(no annotation found)
AC079949.3	(no annotation found)
AC079949.5	(no annotation found)
AC079950.1	(no annotation found)
AC080013.4	(no annotation found)
AC080068.1	(no annotation found)
AC082651.1	(no annotation found)
AC082651.4	(no annotation found)
AC083805.1	(no annotation found)
AC083805.3	(no annotation found)
AC083837.1	(no annotation found)
AC083841.2	(no annotation found)
AC083841.3	(no annotation found)
AC083841.4	(no annotation found)
AC083862.2	(no annotation found)
AC083864.1	(no annotation found)
AC083870.1	(no annotation found)
AC083973.1	(no annotation found)
AC084024.3	(no annotation found)
AC084026.1	(no annotation found)
AC084030.1	(no annotation found)
AC084082.1	(no annotation found)
AC084125.2	(no annotation found)
AC084337.2	(no annotation found)
AC084346.1	(no annotation found)
AC084361.1	(no annotation found)
AC084364.3	(no annotation found)
AC084757.3	(no annotation found)
AC084768.1	(no annotation found)
AC084864.1	(no annotation found)
AC084879.1	(no annotation found)
AC087164.1	(no annotation found)
AC087164.2	(no annotation found)
AC087241.2	(no annotation found)
AC087269.1	(no annotation found)
AC087277.2	(no annotation found)
AC087280.2	(no annotation found)
AC087286.2	(no annotation found)
AC087289.2	(no annotation found)
AC087292.1	(no annotation found)
AC087294.1	(no annotation found)
AC087379.1	(no annotation found)
AC087457.1	(no annotation found)
AC087473.1	(no annotation found)
AC087477.2	(no annotation found)
AC087482.1	(no annotation found)
AC087498.1	(no annotation found)
AC087564.1	(no annotation found)
AC087633.2	(no annotation found)
AC087645.2	(no annotation found)
AC087854.1	(no annotation found)
AC087863.2	(no annotation found)
AC087894.3	(no annotation found)
AC089987.1	(no annotation found)
AC090001.1	(no annotation found)
AC090016.1	(no annotation found)
AC090023.2	(no annotation found)
AC090099.1	(no annotation found)
AC090136.3	(no annotation found)
AC090142.2	(no annotation found)
AC090150.2	(no annotation found)
AC090152.1	(no annotation found)
AC090181.1	(no annotation found)
AC090197.1	(no annotation found)
AC090241.2	(no annotation found)
AC090340.1	(no annotation found)
AC090386.1	(no annotation found)
AC090415.1	(no annotation found)
AC090515.4	(no annotation found)
AC090541.1	(no annotation found)
AC090625.2	(no annotation found)
AC090673.1	(no annotation found)
AC090707.1	(no annotation found)
AC090707.2	(no annotation found)
AC090772.3	(no annotation found)
AC090826.1	(no annotation found)
AC090826.3	(no annotation found)
AC090877.2	(no annotation found)
AC090907.2	(no annotation found)
AC090921.1	(no annotation found)
AC090945.1	(no annotation found)
AC090952.2	(no annotation found)
AC090983.1	(no annotation found)
AC090983.2	(no annotation found)
AC091027.2	(no annotation found)
AC091076.1	(no annotation found)
AC091078.1	(no annotation found)
AC091078.2	(no annotation found)
AC091096.1	(no annotation found)
AC091114.1	(no annotation found)
AC091133.3	(no annotation found)
AC091138.1	(no annotation found)
AC091179.1	(no annotation found)
AC091179.3	(no annotation found)
AC091179.4	(no annotation found)
AC091180.5	(no annotation found)
AC091212.1	(no annotation found)
